"USID","Score"
"0",2
"v0",3
"258",1
"v258",5
"364",5
"v364",5
"431",4
"v431",4
"688",4
"v688",4
"936",4
"v936",4
"1",5
"v1",5
"349",1
"v349",1
"437",5
"542",5
"v542",5
"561",1
"v561",5
"709",4
"755",5
"v755",5
"901",1
"v901",1
"2",5
"v2",5
"135",2
"v135",4
"162",3
"v162",4
"318",5
"v318",5
"853",1
"v853",3
"3",1
"v3",2
"126",1
"v126",5
"153",4
"v153",5
"339",2
"v339",2
"485",2
"v485",1
"575",2
"v575",5
"598",1
"v598",2
"723",3
"v723",5
"769",2
"v769",1
"861",1
"v861",1
"917",1
"4",1
"v4",1
"254",1
"v254",5
"386",5
"v386",5
"506",1
"v506",5
"585",5
"v585",5
"608",1
"v608",5
"733",1
"v733",5
"779",1
"855",3
"v855",4
"873",1
"v873",5
"969",2
"5",1
"v5",5
"261",1
"v261",5
"290",5
"479",1
"v479",2
"6",5
"v6",5
"350",5
"v350",5
"449",5
"v449",5
"891",4
"v891",5
"987",2
"v987",1
"8",1
"v8",1
"365",1
"v365",5
"402",5
"v402",5
"527",5
"v527",5
"9",1
"v9",5
"226",1
"v226",5
"372",4
"v372",5
"455",1
"v455",1
"676",1
"v676",5
"10",1
"v10",1
"173",1
"v173",5
"333",5
"v333",5
"390",5
"v390",5
"508",4
"v508",5
"650",4
"v650",2
"858",1
"v858",1
"918",2
"v918",2
"13",2
"v13",1
"243",1
"v243",4
"280",2
"v280",5
"474",1
"v474",5
"532",4
"v532",4
"551",3
"v551",3
"699",3
"v699",4
"745",4
"v745",3
"832",3
"v832",2
"14",1
"v14",5
"136",1
"v136",1
"163",3
"v163",1
"328",1
"v328",5
"428",1
"v428",5
"15",2
"v15",5
"374",5
"v374",5
"429",1
"v429",2
"636",4
"937",3
"v937",5
"16",2
"v16",3
"168",2
"v168",5
"308",5
"v308",5
"393",2
"v393",5
"518",2
"v518",3
"548",1
"v548",2
"567",4
"v567",4
"715",2
"761",2
"v761",4
"827",1
"v827",4
"887",3
"v887",5
"983",2
"v983",4
"17",2
"v17",2
"133",2
"v133",4
"160",4
"v160",3
"369",5
"v369",2
"477",2
"v477",5
"682",1
"v682",5
"959",3
"v959",2
"18",5
"v18",5
"146",4
"v146",4
"370",4
"v370",3
"398",3
"v398",3
"523",2
"v523",5
"665",2
"v665",4
"815",5
"v815",2
"951",5
"v951",5
"991",1
"v991",4
"19",1
"v19",2
"178",1
"401",1
"v401",1
"526",1
"v526",5
"648",4
"807",1
"v807",2
"921",3
"v921",5
"20",1
"v20",5
"334",2
"v334",2
"391",5
"515",2
"v515",4
"952",4
"21",4
"v21",4
"207",5
"v207",5
"270",5
"v270",5
"433",3
"v433",5
"662",5
"v662",5
"810",4
"v810",5
"896",4
"v896",4
"22",4
"v22",5
"375",3
"v375",3
"493",4
"v493",4
"23",2
"v23",2
"240",4
"v240",4
"377",2
"v377",5
"423",5
"v423",4
"620",5
"878",5
"v878",5
"974",2
"v974",2
"24",5
"v24",5
"353",2
"v353",5
"510",2
"v510",2
"573",5
"596",5
"v596",5
"721",5
"767",5
"25",5
"v25",5
"184",2
"v184",5
"381",5
"v381",5
"482",5
"634",5
"v634",5
"843",5
"v843",5
"26",2
"v26",5
"252",5
"v252",5
"285",4
"v285",5
"480",5
"v480",5
"27",1
"v27",4
"309",5
"v309",5
"395",5
"v395",2
"520",3
"v520",3
"584",1
"607",5
"732",5
"778",5
"v778",5
"28",5
"v28",5
"383",5
"v383",5
"432",4
"v432",5
"658",3
"v658",4
"29",2
"v29",2
"148",5
"v148",5
"442",4
"v442",5
"671",2
"v671",5
"902",2
"v902",5
"30",5
"v30",5
"182",5
"v182",5
"335",1
"v335",2
"407",3
"v407",5
"545",5
"v545",5
"564",1
"v564",5
"712",1
"v712",5
"758",5
"876",5
"v876",2
"972",4
"v972",5
"31",3
"v31",4
"197",5
"v197",5
"306",4
"v306",2
"463",5
"v463",5
"833",4
"v833",2
"32",1
"v32",1
"141",5
"v141",5
"489",4
"v489",5
"656",5
"v656",5
"841",3
"v841",3
"934",2
"v934",5
"33",1
"v33",2
"222",1
"v222",4
"304",1
"v304",5
"445",5
"v445",5
"618",1
"v618",5
"743",1
"789",5
"982",2
"v982",5
"34",5
"330",1
"v330",2
"626",2
"v626",5
"797",4
"996",5
"v996",5
"35",5
"249",4
"v249",5
"392",5
"v392",5
"396",4
"521",1
"v521",5
"37",4
"v37",4
"253",2
"v253",4
"295",2
"v295",5
"447",4
"v447",4
"928",3
"v928",3
"38",4
"v38",5
"293",4
"v293",3
"409",2
"v409",5
"583",3
"606",3
"731",3
"777",3
"995",3
"v995",5
"39",5
"v39",2
"139",5
"346",5
"v346",5
"430",2
"v430",2
"589",5
"612",5
"v612",5
"737",2
"v737",5
"783",5
"40",2
"v40",5
"229",2
"v229",5
"307",5
"v307",5
"421",2
"v421",5
"41",2
"v41",5
"341",1
"v341",5
"424",5
"v424",5
"653",1
"v653",5
"42",4
"v42",4
"127",1
"v127",2
"154",4
"v154",4
"326",5
"v326",5
"410",4
"v410",5
"669",5
"v669",5
"905",5
"v905",5
"43",4
"v43",5
"189",5
"340",5
"v340",5
"397",2
"v397",1
"522",5
"v522",5
"954",2
"v954",5
"46",1
"v46",4
"380",5
"v380",5
"516",2
"v516",4
"641",5
"v641",4
"862",3
"v862",5
"931",4
"v931",3
"47",5
"188",1
"v188",5
"483",1
"v483",5
"582",5
"605",1
"v605",5
"730",1
"v730",4
"776",2
"919",2
"v919",5
"48",5
"237",1
"v237",2
"356",4
"v356",4
"415",4
"v415",4
"546",2
"v546",5
"565",2
"v565",5
"713",5
"759",5
"v759",5
"49",5
"214",1
"v214",5
"347",5
"418",1
"v418",5
"572",1
"v572",5
"595",1
"v595",2
"720",5
"v720",5
"766",2
"844",1
"v844",1
"930",2
"v930",5
"50",1
"v50",5
"362",3
"v362",3
"494",3
"v494",5
"631",5
"v631",1
"52",2
"v52",1
"174",2
"v174",3
"278",3
"v278",2
"495",5
"v495",2
"681",3
"v681",1
"831",1
"v831",1
"932",5
"v932",1
"54",5
"v54",4
"216",5
"v216",5
"264",5
"v264",1
"491",1
"v491",1
"55",1
"v55",4
"272",1
"v272",5
"416",1
"683",1
"56",1
"313",1
"v313",2
"408",1
"535",2
"702",3
"v702",5
"748",2
"v748",5
"57",1
"v57",5
"338",2
"v338",5
"464",2
"v464",5
"945",2
"v945",5
"58",1
"v58",1
"336",5
"v336",5
"486",1
"646",1
"59",5
"v59",5
"206",4
"v206",5
"287",5
"v287",5
"465",4
"v465",5
"619",1
"v619",2
"744",5
"v744",5
"790",5
"60",1
"v60",5
"325",1
"v325",5
"453",1
"v453",5
"574",1
"v574",5
"597",1
"v597",1
"722",5
"768",1
"61",1
"v61",2
"300",5
"v300",5
"481",1
"v481",4
"62",5
"v62",1
"212",5
"v212",5
"288",5
"v288",2
"505",4
"v505",5
"684",2
"870",2
"v870",2
"966",2
"v966",5
"63",5
"v63",5
"257",2
"v257",2
"305",2
"v305",5
"466",5
"v466",5
"649",5
"v649",2
"906",5
"v906",5
"64",5
"v64",5
"379",2
"v379",2
"425",2
"v425",5
"588",2
"v588",2
"611",2
"v611",2
"736",2
"782",2
"821",1
"v821",5
"65",1
"v65",2
"223",2
"v223",2
"298",2
"v298",5
"478",3
"v478",3
"814",2
"v814",5
"990",5
"v990",5
"66",5
"v66",5
"218",5
"v218",5
"436",5
"v436",5
"708",5
"v708",2
"754",5
"v754",3
"949",5
"v949",5
"67",5
"v67",4
"167",1
"v167",3
"286",2
"v286",2
"394",1
"v394",1
"519",2
"v519",5
"989",1
"v989",1
"69",1
"v69",1
"246",2
"v246",2
"345",1
"v345",5
"490",3
"647",1
"872",2
"v872",4
"968",1
"70",5
"v70",5
"138",5
"v138",5
"273",3
"v273",5
"406",3
"v406",5
"531",3
"v531",3
"599",4
"v599",5
"724",5
"v724",5
"770",5
"v770",5
"826",3
"v826",4
"71",5
"v71",5
"172",1
"v172",5
"317",5
"v317",5
"467",1
"v467",4
"660",2
"73",5
"v73",2
"260",1
"v260",3
"497",4
"v497",5
"693",5
"v693",5
"897",2
"v897",3
"74",2
"v74",4
"205",5
"v205",2
"371",3
"v371",5
"504",2
"v504",5
"538",2
"v538",4
"557",2
"v557",3
"705",2
"v705",3
"751",2
"v751",3
"914",2
"v914",3
"75",1
"v75",2
"232",1
"v232",1
"314",2
"v314",5
"413",2
"v413",5
"674",2
"v674",2
"804",2
"v804",2
"910",2
"v910",5
"994",4
"v994",4
"77",1
"v77",3
"231",2
"v231",4
"299",2
"v299",2
"405",2
"v405",4
"530",5
"v530",5
"679",3
"v679",3
"78",4
"v78",5
"385",2
"v385",5
"507",2
"v507",3
"812",5
"v812",5
"79",1
"v79",2
"322",5
"v322",5
"492",1
"v492",5
"80",2
"v80",5
"242",1
"v242",4
"359",5
"v359",5
"502",1
"v502",5
"539",1
"v539",5
"558",4
"v558",1
"706",5
"v706",5
"752",1
"v752",5
"856",1
"v856",5
"911",2
"v911",5
"82",1
"v82",5
"244",1
"v244",5
"332",5
"v332",5
"388",5
"v388",5
"411",1
"v411",5
"590",1
"v590",5
"613",1
"v613",5
"738",5
"784",5
"942",1
"v942",5
"83",1
"v83",4
"239",1
"v239",4
"263",5
"v263",5
"331",1
"v331",4
"498",2
"540",2
"559",2
"v559",5
"707",1
"v707",5
"753",3
"v753",5
"829",3
"v829",5
"941",1
"999",1
"v999",1
"85",4
"v85",3
"132",5
"v132",5
"159",5
"v159",5
"283",4
"v283",5
"514",1
"v514",1
"820",1
"v820",5
"880",2
"v880",5
"976",5
"v976",5
"86",1
"v86",3
"248",4
"v248",1
"444",1
"v444",1
"547",1
"v547",3
"566",1
"v566",1
"714",1
"v714",1
"760",1
"v760",1
"845",3
"v845",5
"895",4
"v895",5
"87",2
"v87",5
"195",1
"v195",5
"358",1
"v358",3
"496",1
"v496",5
"88",1
"v88",5
"140",5
"v140",5
"274",5
"v274",5
"461",5
"v461",5
"957",5
"v957",5
"89",1
"v89",1
"142",1
"v142",5
"320",1
"v320",2
"452",1
"801",1
"v801",3
"90",1
"v90",4
"204",2
"v204",2
"315",2
"v315",2
"422",5
"v422",5
"91",1
"v91",4
"312",4
"v312",4
"475",3
"v475",3
"865",5
"v865",5
"925",2
"v925",4
"960",5
"v960",5
"92",1
"v92",1
"327",3
"v327",5
"420",2
"v420",2
"630",3
"v630",5
"909",2
"v909",2
"93",2
"v93",5
"185",2
"v185",5
"366",2
"438",5
"819",1
"v819",5
"913",2
"v913",3
"94",1
"v94",1
"301",5
"v301",5
"470",2
"v470",4
"685",4
"840",1
"v840",1
"944",3
"v944",5
"95",5
"v95",5
"269",5
"484",5
"v484",5
"534",1
"v534",1
"553",4
"v553",5
"701",4
"v701",5
"747",4
"v747",5
"96",1
"v96",4
"171",3
"v171",5
"360",5
"488",1
"v488",4
"663",3
"857",5
"v857",5
"998",3
"v998",1
"97",2
"v97",4
"281",5
"v281",5
"460",2
"v460",3
"633",4
"98",4
"v98",4
"200",2
"v200",5
"324",5
"v324",5
"469",4
"v469",5
"99",1
"v99",4
"294",1
"v294",5
"417",1
"v417",4
"543",4
"v543",1
"562",3
"v562",4
"710",5
"v710",5
"756",4
"v756",5
"100",1
"v100",5
"224",3
"v224",2
"265",2
"v265",2
"399",4
"v399",4
"524",2
"v524",5
"571",2
"v571",5
"594",2
"v594",4
"719",3
"765",3
"859",2
"v859",2
"888",5
"v888",5
"984",3
